statefips,countyfips,metrofips,geo_area,year,initiative,n_industries,min_wage,q25_wage,median_wage,q75_wage,max_wage,weighted_avg_wage
00,000,21780,Evansville MSA,2023,Conexus,443,0,0,0,79442.84475250001,363252.039805,NA
00,000,21780,Evansville MSA,2023,TechPoint,42,0,0,46152.08602195,95622.36936299999,363252.039805,111538.77473534687
00,000,23060,Fort Wayne MSA,2023,Advanced & Traded Industries,142,0,52992.9471614666,73770.85705336946,92321.62002585357,218611.9855495991,86918.66054245686
00,000,23060,Fort Wayne MSA,2023,AgriNovus,100,0,0,0,55653.762941,118241.938224,NA
00,000,23060,Fort Wayne MSA,2023,BioCrossroads,26,0,0,33070.04618825,95621.155640325,158875.009301,97671.17345763337
00,000,23060,Fort Wayne MSA,2023,Conexus,443,0,0,52653.2294898,78849.341732,292195.596062,NA
00,000,23060,Fort Wayne MSA,2023,TechPoint,42,0,11063.489980625,76925.73222305,115065.2188235,185841.036947,103900.3671168496
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,Advanced & Traded Industries,142,0,72882.74423446399,87453.98378623722,106080.62199820642,294049.68895794044,104171.23400686642
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,AgriNovus,100,0,38149.004409775,67422.4267626,90603.382597875,348727.434629,NA
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,BioCrossroads,26,0,86398.8789109,108113.8422745,135023.765615,255891.648311,186014.09364642052
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,Conexus,443,0,60687.3991894,79083.2781583,100868.756169,536647.358519,NA
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,TechPoint,42,0,83234.51397982499,103626.10970649999,131986.80493249997,202923.232783,132415.4440218322
00,000,29020,Kokomo MSA,2023,Advanced & Traded Industries,142,0,0,43409.61852693058,81791.93215730927,396986.5463276898,117809.14781028677
00,000,29020,Kokomo MSA,2023,AgriNovus,100,0,0,0,0,100219.252275,NA
00,000,29020,Kokomo MSA,2023,BioCrossroads,26,0,0,0,43301.885112899996,396986.644284,68362.86675045267
00,000,29020,Kokomo MSA,2023,Conexus,443,0,0,0,0,396986.644284,NA
00,000,29020,Kokomo MSA,2023,TechPoint,42,0,0,0,69594.0387092,191959.688073,92410.69337598575
00,000,29200,Lafayette-West Lafayette MSA,2023,Advanced & Traded Industries,142,0,0,66690.91154754788,91711.46784450456,242081.2554435704,91198.64614752209
00,000,29200,Lafayette-West Lafayette MSA,2023,AgriNovus,100,0,0,0,59739.44032645,191806.646244,NA
00,000,29200,Lafayette-West Lafayette MSA,2023,BioCrossroads,26,0,0,99532.64023885,119678.50504325,191806.646244,117598.54183569897
00,000,29200,Lafayette-West Lafayette MSA,2023,Conexus,443,0,0,0,66964.3440907,235021.326649,NA
00,000,29200,Lafayette-West Lafayette MSA,2023,TechPoint,42,0,0,82840.365921,118541.17995275001,314416.601448,97543.16902992078
00,000,31140,Louisville/Jefferson County MSA,2023,Advanced & Traded Industries,142,0,73194.90842691428,93198.85363634104,113398.80016898707,255094.16987743444,98118.12914780145
00,000,31140,Louisville/Jefferson County MSA,2023,AgriNovus,100,0,29284.202204175002,70390.83882954999,89136.7226586,320017.963548,NA
00,000,31140,Louisville/Jefferson County MSA,2023,BioCrossroads,26,0,85774.05777995,118200.75913600001,160617.54496725,387348.693813,134656.6139319305
00,000,31140,Louisville/Jefferson County MSA,2023,Conexus,443,0,65615.35006365,84117.6426706,110263.3757665,427314.673421,NA
00,000,31140,Louisville/Jefferson County MSA,2023,TechPoint,42,0,85463.52783937499,113555.2803535,144237.535713,427314.673421,114749.23240908684
00,000,33140,Michigan City-La Porte MSA,2023,Advanced & Traded Industries,142,0,0,61878.70441556931,78525.14526615289,161228.91497399317,76790.5255764383
00,000,33140,Michigan City-La Porte MSA,2023,AgriNovus,100,0,0,0,37079.6708584,230213.732199,NA
00,000,33140,Michigan City-La Porte MSA,2023,BioCrossroads,26,0,0,0,62384.908668275,116477.681687,82129.33853971923
00,000,33140,Michigan City-La Porte MSA,2023,Conexus,443,0,0,0,57311.21477905,230213.732199,NA
00,000,33140,Michigan City-La Porte MSA,2023,TechPoint,42,0,0,0,62249.351065725,170629.255018,83414.85077926451
00,000,34620,Muncie MSA,2023,Advanced & Traded Industries,142,0,0,53724.574208010934,81706.6942620162,178724.96701177774,78373.39071909069
00,000,34620,Muncie MSA,2023,AgriNovus,100,0,0,0,0,112206.704064,NA
00,000,34620,Muncie MSA,2023,BioCrossroads,26,0,0,0,34074.6078474,127959.046475,75066.15137871512
00,000,34620,Muncie MSA,2023,Conexus,443,0,0,0,42255.551909500005,181681.57259,NA
00,000,34620,Muncie MSA,2023,TechPoint,42,0,0,0,64581.096755624996,111121.555587,85568.00034487084
00,000,43780,South Bend-Mishawaka MSA,2023,Advanced & Traded Industries,142,0,45316.70138008449,73200.66902187307,99482.46344172265,222281.4257675232,86453.13174911546
00,000,43780,South Bend-Mishawaka MSA,2023,AgriNovus,100,0,0,0,51679.3323067,157491.849973,NA
00,000,43780,South Bend-Mishawaka MSA,2023,BioCrossroads,26,0,0,76110.39225925,107243.81926825,201410.012148,111099.82503052193
00,000,43780,South Bend-Mishawaka MSA,2023,Conexus,443,0,0,42412.3037534,79324.87743445,238936.014512,NA
00,000,43780,South Bend-Mishawaka MSA,2023,TechPoint,42,0,0,74485.65404135,113725.03366625,238936.014512,92603.12106319597
00,000,45460,Terre Haute MSA,2023,Advanced & Traded Industries,142,0,0,64927.71213832601,83452.6958200518,257957.703426229,78322.56522577947
00,000,45460,Terre Haute MSA,2023,AgriNovus,100,0,0,0,43363.00579465,125928.461015,NA
00,000,45460,Terre Haute MSA,2023,BioCrossroads,26,0,0,0,72689.83967885,125928.461015,104821.99331896787
00,000,45460,Terre Haute MSA,2023,Conexus,443,0,0,0,61213.80538735,378021.690058,NA
00,000,45460,Terre Haute MSA,2023,TechPoint,42,0,0,0,73516.9844753,248119.922845,82083.82906360213
18,000,00000,Indiana,2023,Advanced & Traded Industries,142,0,69112.66035491282,85526.16112970583,101592.23876627778,217011.73541253124,93906.32343799832
18,000,00000,Indiana,2023,AgriNovus,100,0,57933.96344392501,72306.3275654,85306.370658875,348727.434629,NA
18,000,00000,Indiana,2023,BioCrossroads,26,52360.5452791,89194.62858885001,115104.5685205,141249.82931575,215400.053977,148688.5070772028
18,000,00000,Indiana,2023,Conexus,443,0,66900.80477434999,79949.3240291,95600.89942815,348727.434629,NA
18,000,00000,Indiana,2023,TechPoint,42,0,79196.068269675,99321.03321545,125584.0287465,164494.552137,120371.82939065839
